site,cam,date_time,presence,count,collar,dist_urban,dist_mata,dist_rocio,dist_road,dist_marshes,dogs_id,season,time_sunset,time_sunrise
53,57,NA,no,0,NA,14.746,14.746,25.262,14.705,0.19,NA,NA,NA,NA
54,80,NA,no,0,NA,12.515,12.515,23.441,12.469,0.731,NA,NA,NA,NA
55,52,NA,no,0,NA,14.816,14.816,28.041,14.724,3.426,NA,NA,NA,NA
58,61,NA,no,0,NA,1.732,1.732,15.805,1.355,5.768,NA,NA,NA,NA
60,53,NA,no,0,NA,3.116,3.116,12.932,3.077,5.333,NA,NA,NA,NA
62,59,NA,no,0,NA,12.758,12.758,26.019,12.668,4.534,NA,NA,NA,NA
63,79,NA,no,0,NA,4.094,4.094,17.162,3.935,3.74,NA,NA,NA,NA
64,76,NA,no,0,NA,9.433,9.433,20.681,9.346,0.652,NA,NA,NA,NA
65,60,NA,no,0,NA,6.93,6.93,19.869,6.92,1.856,NA,NA,NA,NA
66,75,NA,no,0,NA,8.003,8.003,17.119,7.684,0.369,NA,NA,NA,NA
67,70,NA,no,0,NA,5.023,5.023,14.593,4.607,2.455,NA,NA,NA,NA
6B,65,NA,no,0,NA,4.7,4.7,13.079,4.44,3.21,NA,NA,NA,NA
7B,47,NA,no,0,NA,21.57,21.57,33.728,21.48,1.156,NA,NA,NA,NA
8,8,NA,no,0,NA,3.178,3.178,11.501,2.225,7.709,NA,NA,NA,NA
9,9,NA,no,0,NA,18.933,18.933,30.832,18.847,0.347,NA,NA,NA,NA
